model,params_m,val_p90_e4,val_p90_e8,val_p90_e12,val_p90_e16,test_p90_e16,train_h_e1_4,train_h_e5_8,train_h_e9_12,train_h_e13_16,inference_ms
EleutherAI/pythia-31m,15.5,6.5797,4.2983,3.3145,3.0734,3.1071,0.241371,0.233205,0.233205,0.233205,34.1583
EleutherAI/pythia-70m-deduped,35.6,6.5371,5.3248,5.6603,5.0884,4.6393,0.312748,0.30577,0.30577,0.30577,36.0023
HuggingFaceTB/SmolLM-135M-Instruct,81.9,5.1849,4.5672,1.7794,1.5315,1.4335,1.095736,1.093353,1.093353,1.093353,69.6437
HuggingFaceTB/SmolLM-135M,81.9,5.1849,4.9238,1.8417,1.5699,1.5455,1.094198,1.093838,1.093838,1.093838,70.8967
HuggingFaceTB/SmolLM-360M-Instruct,205.4,6.2275,5.6778,2.3293,1.6713,1.6505,4.250922,4.337038,4.337038,4.337038,72.0193
distilbert/distilbert-base-multilingual-cased,113.6,5.7136,5.3414,5.0963,5.0015,4.9392,0.443978,0.438097,0.438097,0.438097,32.7220
distilbert/distilroberta-base,61.0,5.8037,5.4110,5.1444,5.0805,5.0171,0.368284,0.361149,0.361149,0.361149,34.1505
facebook/opt-125m,83.1,6.1307,1.9243,1.5849,1.4955,1.5262,0.632014,0.627376,0.627376,0.627376,40.8533
google-bert/bert-base-multilingual-cased,135.7,5.7224,5.4342,5.0805,5.0015,4.9392,0.594175,0.591047,0.591047,0.591047,41.5908
google/bert_uncased_L-10_H-768_A-12,60.2,5.8037,5.1606,5.0015,5.0015,4.9392,0.502525,0.496384,0.496384,0.496384,37.3030
google/bert_uncased_L-6_H-512_A-8,25.7,5.6778,5.5374,5.1606,5.0805,5.0171,0.29068,0.283531,0.283531,0.283531,32.1336
google/bert_uncased_L-8_H-128_A-2,4.8,6.1450,5.7494,5.4024,5.3185,5.2998,0.196577,0.192983,0.192983,0.192983,34.1989
microsoft/deberta-v3-small,120.2,5.6690,5.5809,5.1707,5.0963,5.0171,0.882356,0.883999,0.883999,0.883999,41.0120
sentence-transformers/multi-qa-distilbert-cos-v1,45.3,5.7136,5.1606,5.0015,5.0015,4.9392,0.40988,0.405665,0.405665,0.405665,33.4502
sentence-transformers/paraphrase-MiniLM-L6-v2,17.5,5.4089,5.4089,4.9392,4.8473,4.7869,0.25877,0.252171,0.252171,0.252171,32.8944
EleutherAI/pythia-14m-deduped,7.1,26.5688,13.9814,6.6507,9.3492,9.3346,0.194167,0.188732,0.188732,0.188732,34.3140
HuggingFaceTB/SmolLM2-135M,81.9,5.6867,4.2233,1.5996,1.3256,1.3423,1.567454,1.573432,1.573432,1.573432,73.4450
google-bert/bert-base-uncased,67.3,5.7048,5.1606,5.0015,5.0015,4.9392,0.551474,0.5426,0.5426,0.5426,39.6303
google/bert_uncased_L-10_H-512_A-8,32.1,5.6690,5.2421,5.0805,5.0805,5.0171,0.35198,0.346003,0.346003,0.346003,36.6756
google/bert_uncased_L-2_H-128_A-2,4.2,6.0283,5.8447,5.5983,5.4898,5.5222,0.178192,0.168209,0.168209,0.168209,28.4142
